gene_id	colors
Ptpn7	tan
Arl8a	brown
Elf3	grey60
Rnpep	grey60
Timm17a	green
Lmod1	cyan
Csrp1	grey60
Phlda3	brown
Tnni1	grey60
Lad1	cyan
Tnnt2	green
Pkp1	cyan
Cacna1s	cyan
Kif21b	greenyellow
Inava	brown
Kif14	tan
Zfp281	red
Platr22	lightgreen
Nr5a2	brown
Gm4258	blue
Ptprc	grey60
Dennd1b	grey60
Crb1	blue
Aspm	tan
Cfh	blue
B3galt2	black
Ro60	blue
Uchl5	green
Rgs2	grey60
Rgs1	grey60
Rgs18	black
Pla2g4a	brown
Ptgs2	grey60
Prg4	green
Hmcn1	blue
Gm46162	turquoise
Ivns1abp	blue
Trmt1l	grey60
Niban1	blue
1700025G04Rik	blue
Colgalt2	blue
Arpc5	brown
Ncf2	grey60
Smg7	grey60
Lamc2	green
Lamc1	green
Npl	red
Rgs8	grey60
Rgs16	brown
Rnasel	grey60
Rgsl1	lightgreen
Glul	lightgreen
Cacna1e	blue
Gm41977	grey60
Gm41979	grey60
Ier5	grey60
Mr1	tan
Stx6	purple
Xpr1	turquoise
Qsox1	brown
Tor1aip1	grey60
Tor1aip2	grey60
Soat1	lightgreen
Abl2	grey60
Tor3a	grey60
Ralgps2	blue
Angptl1	cyan
Rasal2	blue
2810025M15Rik	blue
Cryzl2	turquoise
Sec16b	turquoise
Pappa2	tan
4930523C07Rik	salmon
Tnn	blue
Cacybp	grey60
Serpinc1	black
Gas5	green
Tex50	grey60
Prdx6	lightgreen
Tnfsf18	green
Gm31815	salmon
Fasl	grey60
Dnm3	blue
Dnm3os	green
Myoc	black
Fmo4	turquoise
Fmo1	lightgreen
Fmo2	blue
Fmo3	lightgreen
Kifap3	blue
BC055324	tan
Sele	grey60
Sell	grey60
Selp	brown
F5	black
Slc19a2	purple
Blzf1	green
Atp1b1	blue
Dpt	blue
Xcl1	grey60
Sft2d2	lightgreen
Mpzl1	turquoise
Cd247	midnightblue
Pou2f1	turquoise
Ildr2	tan
Fam78b	green
Uck2	green
Mgst3	purple
Rxrg	grey60
Pbx1	lightgreen
Nuf2	tan
Rgs5	cyan
Rgs4	green
Hsd17b7	green
Uap1	grey60
Gm7694	lightgreen
Nos1ap	lightgreen
Olfml2b	green
Fcrlb	brown
Fcrla	greenyellow
Gm39701	brown
Fcgr2b	brown
Fcgr4	brown
Gm26110	brown
Gm35090	blue
n-TDgtc4	grey60
n-TGtcc2	black
Fcgr3	brown
Sdhc	red
Mpz	lightgreen
Pcp4l1	blue
Apoa2	blue
Fcer1g	grey60
Adamts4	brown
B4galt3	grey60
Klhdc9	turquoise
Nectin4	grey60
Arhgap30	grey60
Tstd1	blue
F11r	grey60
LOC115487699	black
Alyref2	grey60
Itln1	tan
Gm35200	grey60
Cd244a	grey60
Ly9	brown
Slamf7	grey60
Cd48	grey60
Cd84	brown
Slamf6	midnightblue
Vangl2	blue
Ncstn	red
Casq1	cyan
Atp1a2	blue
Gm39704	blue
Igsf8	grey60
Slamf9	yellow
Igsf9	grey60
Cfap45	brown
Vsig8	cyan
Slamf8	grey60
Cadm3	grey60
Aim2	grey60
Ifi206	grey60
Ifi214	grey60
Ifi213	grey60
Ifi209	grey60
Ifi208	grey60
Ifi207	brown
Ifi204	grey60
Mndal	grey60
Ifi211	grey60
Ifi203	grey60
Ifi205	grey60
Spta1	lightgreen
Gm51689	lightgreen
Grem2	lightgreen
Rgs7	grey60
Fh1	purple
Kmo	midnightblue
Chml	turquoise
Sdccag8	brown
Hmga2-ps1	grey60
Akt3	salmon
2310043L19Rik	grey60
Efcab2	blue
Kif26b	blue
Smyd3	blue
Gm31349	blue
Tfb2m	turquoise
Cnst	blue
Cdc42bpa	blue
LOC108167749	blue
Coq8a	cyan
Gm5069	blue
Itpkb	salmon
Lin9	grey60
Acbd3	green
H3f3a	purple
Lefty1	blue
Ephx1	lightgreen
Srp9	red
Trp53bp2	blue
LOC108167751	lightgreen
Susd4	blue
Brox	green
Aida	grey60
Dusp10	brown
Hlx	blue
Mtarc1	grey60
C130074G19Rik	lightgreen
Mark1	brown
Bpnt1	purple
Eprs	green
Lyplal1	blue
Rrp15	brown
Esrrg	blue
Kcnk2	blue
A430027H14Rik	blue
Cenpf	tan
Smyd2	green
Batf3	brown
Fam71a	grey60
Atf3	grey60
Dtl	tan
Kcnh1	tan
Sertad4	lightgreen
Traf3ip3	midnightblue
G0s2	blue
Lamb3	turquoise
Plxna2	brown
Cd34	green
A330023F24Rik	grey60
Cr2	greenyellow
LOC100041057	grey60
LOC102638047	grey60
Fam171a1	blue
Rpp38	brown
Acbd7	blue
Meig1	blue
Dclre1c	grey60
Suv39h2	brown
Frmd4a	grey60
Phyh	grey60
Mcm10	grey60
Optn	grey60
Ccdc3	lightgreen
Proser2	cyan
Echdc3	blue
5031426D15Rik	blue
Gata3	lightgreen
Itih2	black
Itih5	cyan
Sfmbt2	salmon
Prkcq	grey60
Gm13293	grey60
Pfkfb3	grey60
Rbm17	red
Il2ra	grey60
Il15ra	grey60
Itga8	blue
E030013I19Rik	blue
Mindy3	red
St8sia6	tan
Hacd1	green
Tmem236	grey60
Mrc1	turquoise
Cacnb2	lightgreen
Plxdc2	blue
A930004D18Rik	blue
Gm17762	blue
Skida1	blue
Gm3363	lightgreen
Pip4k2a	grey60
Gm33534	grey60
Msrb2	blue
Otud1	salmon
Etl4	lightgreen
Gm17171	grey60
Arhgap21	blue
Gm13375	blue
Enkur	blue
Thnsl1	black
Apbb1ip	grey60
Pdss1	red
Mastl	tan
Hnmt	blue
Il1f9	grey60
Il1f6	cyan
Il1f5	cyan
Il1rn	grey60
Psd4	grey60
Dph7	grey60
Pnpla7	brown
Entpd8	lightgreen
Gm13387	turquoise
Nrarp	blue
Cysrt1	cyan
Rnf208	cyan
Lrrc26	lightgreen
AA543186	blue
Abca2	blue
Clic3	blue
Traf2	brown
Phpt1	blue
Fcna	cyan
Tmem250-ps	blue
Qsox2	red
Ccdc187	blue
Gpsm1	lightgreen
Pmpca	red
Inpp5e	purple
Agpat2	grey60
Dipk1b	blue
Snhg7	lightcyan
Abo	cyan
Rpl7a	green
Surf4	brown
Slc2a6	grey60
Mymk	brown
Adamtsl2	turquoise
Sardh	turquoise
Gm25541	black
Gm13421	blue
Col5a1	green
Olfm1	grey60
Ak8	blue
Setx	turquoise
Rapgef1	green
Trub2	brown
Urm1	green
Cercam	turquoise
Set	green
Pkn3	turquoise
Zdhhc12	brown
Tbc1d13	grey60
Endog	blue
Spout1	green
Kyat1	cyan
Lrrc8a	brown
Phyhd1	green
Ier5l	brown
Cstad	turquoise
1700001O22Rik	turquoise
Prrx2	tan
Ptges	green
Gpr107	brown
Ncs1	red
Ass1	grey60
Exosc2	green
Lamc3	turquoise
Aif1l	cyan
Fam78a	black
Prrc2b	blue
Lcn2	tan
Slc25a25	brown
St6galnac4	grey60
St6galnac6	blue
Ak1	cyan
Eng	black
LOC115489602	salmon
Fpgs	green
Cdk9	grey60
Sh2d3c	grey60
Ttc16	blue
Ptrh1	brown
Cfap157	lightgreen
Rpl12	lightcyan
Angptl2	lightgreen
Mvb12b	blue
Pbx3	blue
Hspa5	brown
Rabepk	brown
Cutal	blue
Traf1	grey60
Hc	salmon
Cntrl	brown
Gsn	lightgreen
Stom	grey60
Ttll11	green
Morn5	tan
Lhx6	brown
Ptgs1	green
Strbp	blue
Dennd1a	grey60
Gm46736	grey60
Lhx2	grey60
Nek6	green
Psmb7	green
Nr6a1	grey60
Nr6a1os	blue
Rpl35	turquoise
Scai	blue
Kynu	grey60
Arhgap15	midnightblue
Zeb2os	grey60
Vis1	brown
Gm13479	grey60
Kif5c	grey60
Lypd6	lightgreen
Rnd3	brown
Rbm43	grey60
Nmi	grey60
Tnfaip6	grey60
Neb	cyan
A430018G15Rik	blue
Fmnl2	brown
Prpf40a	brown
Rprm	lightgreen
Galnt13	blue
Kcnj3	lightgreen
Nr4a2	lightgreen
Galnt5	blue
Cytip	salmon
Acvr1c	black
Upp2	lightgreen
Dapl1	cyan
Cd302	brown
Gm13580	turquoise
Pla2r1	salmon
Itgb6	brown
Rbms1	red
Gm33647	blue
Tank	grey60
Psmd14	brown
Dpp4	salmon
Fap	grey60
Ifih1	grey60
Gca	grey60
Fign	blue
Grb14	blue
Cobll1	lightgreen
Slc38a11	blue
Scn3a	blue
Ttc21b	blue
Scn7a	blue
Xirp2	cyan
Stk39	grey60
Cers6	brown
Nostrin	blue
Spc25	tan
Dhrs9	grey60
Lrp2	blue
Klhl41	cyan
Fastkd1	purple
Klhl23	blue
Ssb	brown
Sp5	lightgreen
Erich2	tan
Gorasp2	green
Mettl8	blue
Cybrd1	blue
