genotype	sex	age_at_start	day	outcome	UID
APOE3	female	19.714285714285715	14	0	170
APOE4	female	26.142857142857142	14	0	171
APOE4	female	26.142857142857142	14	0	172
APOE4	female	26.142857142857142	14	0	173
APOE4	female	26.142857142857142	14	0	174
APOE4	female	26.142857142857142	14	0	175
APOE4	female	26	14	0	176
APOE4	female	26	14	0	177
APOE4	female	26	14	0	178
APOE4	female	26	14	0	179
APOE4	female	26	14	0	180
APOE4	female	18.571428571428573	14	0	181
APOE4	female	18.571428571428573	14	0	182
APOE4	female	18.571428571428573	14	0	183
APOE4	female	18.571428571428573	14	0	184
APOE4	female	18.428571428571427	14	0	185
APOE4	female	18.428571428571427	14	0	186
APOE4	female	18.428571428571427	14	0	187
APOE4	female	18.428571428571427	14	0	188
APOE4	female	18.428571428571427	14	0	189
