genotype	ct_norm
APOE2	2.003591149
APOE2	1.333510507
APOE2	1.371776551
APOE2	0.825169258
APOE2	1.459817641
APOE2	1.370334599
APOE3	1.06229699
APOE3	1.800018635
APOE3	1.057528085
APOE3	0.08015629
APOE4	1.582622472
APOE4	1.226659897
APOE4	0.726142793
APOE4	1.782094313
APOE4	1.539838198
APOE2	1.794336507
APOE3	0.598280875
APOE4	1.636305893
APOE2	0.696159772
APOE3	1.363431021
APOE4	2.019404961
APOE2	1.560008412
APOE3	1.407760057
APOE4	2.002508125
APOE2	1.679161129
APOE3	1.131347666
APOE4	1.670839157
APOE2	1.218853939
APOE3	0.376447554
APOE2	1.212854151
APOE4	1.447621721
APOE3	0.786309703
APOE3	1.336423125
APOE4	2.022616614
